Step,numberOfAcceptedPeleSteps,currentEnergy,bindingEnergy,ligandSASA,ligandRMSD,H38_OG-L1_C3,H38_OG-L1_C7,H38_OG-L1_C10,H38_HG-H175_ND1,H175_HE2-H40_OE2,H175_HE2-H40_OE1,epoch,trajectory,Cluster
4,4,-3429.23,8.03406,0.557072,6.09814,3.94582,4.83043,5.50956,6.29607,3.76232,1.60888,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_3.xtc,0
5,5,-3433.37,-14.6706,0.516466,6.20463,5.29328,4.92208,5.02734,6.21555,3.67231,1.64598,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_3.xtc,0
6,6,-3429.5,-9.61373,0.508695,6.23247,3.06347,6.49036,7.2081,6.14919,3.63589,1.52473,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_3.xtc,3
11,7,-3437.65,-11.6501,0.518505,6.93311,3.30787,5.53331,7.03922,5.90106,3.72332,1.49986,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_3.xtc,3
0,0,-3437.72,-9.82299,0.473772,6.5801,4.0315,4.20714,5.45082,6.37998,3.80749,1.63921,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_4.xtc,-
1,1,-3438.07,-13.0714,0.459365,6.39252,5.39717,4.71953,4.69894,6.29404,3.74964,1.58966,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_4.xtc,2
10,2,-3436.83,-7.87734,0.456494,5.64143,4.62029,4.79075,7.23106,6.29122,3.76255,1.59661,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_4.xtc,2
11,3,-3440.66,-11.071,0.494429,6.22992,7.73905,5.57028,3.95546,5.64712,3.82431,1.66344,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_4.xtc,0
0,0,-3354.79,-11.5593,0.466916,3.23636,7.08348,7.98912,7.57618,6.00681,4.34135,2.89201,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_5.xtc,-
2,1,-3358.87,-12.33,0.375816,5.23389,7.51193,4.87299,9.6488,6.02366,4.33608,2.85611,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_5.xtc,4
8,2,-3359.8,-14.3415,0.347798,5.00423,7.22404,5.42944,10.3059,6.01779,4.33118,2.81138,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_5.xtc,2
11,3,-3426.99,-13.1045,0.450737,4.18339,8.66133,4.49253,5.58081,4.64788,4.43264,2.94142,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_5.xtc,0
12,4,-3431.1,-5.49829,0.50129,4.84869,7.86235,5.34574,5.21863,4.60598,4.40297,2.91301,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_5.xtc,0
0,0,-3423.98,-15.613,0.41331,4.89725,6.4429,8.0851,4.69346,5.91977,4.20149,2.84791,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_6.xtc,-
1,1,-3431.62,-17.4968,0.381694,5.7386,7.17994,3.28422,7.62701,4.38964,4.27051,2.84355,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_6.xtc,2
0,0,-3338.58,-12.2299,0.548743,4.93503,8.77995,10.1538,6.60149,6.07884,4.46374,3.06016,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_7.xtc,-
1,1,-3355.29,-7.67022,0.593013,6.38919,6.91302,11.6963,7.92407,6.16736,4.43092,3.07438,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_7.xtc,1
2,2,-3358.03,-5.02046,0.564651,6.54367,6.83554,12.2695,8.24834,6.12914,4.35848,2.92836,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_7.xtc,1
8,3,-3358.8,-5.9748,0.674436,6.63117,5.89582,11.4313,8.38789,6.04324,4.24376,2.72617,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_7.xtc,1
10,4,-3364.0,-6.87255,0.589166,6.6957,9.0181,11.9383,6.70065,6.10161,4.24164,2.69394,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_7.xtc,1
12,5,-3365.2,-6.19824,0.601925,6.05887,10.9674,6.26154,8.66866,5.99087,4.0987,2.42197,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_7.xtc,0
0,0,-3336.33,-8.49797,0.44073,5.43924,5.86963,6.81867,6.93869,6.10977,4.38905,3.09517,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,-
1,1,-3331.38,-8.23502,0.509719,5.64409,3.47651,7.78393,8.82739,5.30395,4.46885,3.10774,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,1
2,2,-3347.63,-7.26579,0.643458,5.63723,7.48077,6.55468,8.89435,5.27231,4.41997,3.0652,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,3
4,3,-3351.13,-6.42421,0.659413,6.44483,6.36839,6.95743,10.4734,5.20321,4.30214,2.88251,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,3
6,4,-3352.94,-10.4657,0.592172,6.35096,4.54774,8.32843,8.63715,5.29657,4.18883,2.62706,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,1
8,5,-3347.73,-6.19677,0.562948,6.17965,4.76652,10.0707,8.15614,5.45696,4.13121,2.55113,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,1
10,6,-3351.49,-3.32849,0.656431,6.0722,7.69479,10.0125,4.68715,5.18357,3.93434,2.15175,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_8.xtc,2
0,0,-3442.06,-13.5133,0.3808,3.72785,4.27128,6.53735,5.97646,5.59049,3.71308,1.51559,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_9.xtc,-
2,1,-3447.46,-18.2723,0.436084,4.21605,3.29335,7.13895,7.35768,2.08929,4.75677,2.68992,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_9.xtc,3
0,0,-3454.18,-17.9897,0.39179,4.08604,4.18691,6.07182,7.57113,5.63267,3.71066,1.51908,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_10.xtc,-
6,1,-3456.77,-13.2512,0.473456,4.95529,6.16935,5.58746,7.33486,5.67937,3.73191,1.53676,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_10.xtc,3
0,0,-3447.02,-8.51299,0.515605,4.93661,7.88437,4.58068,8.1567,6.05083,4.35148,2.9866,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_11.xtc,-
1,1,-3486.18,-4.98251,0.632306,6.66414,5.18278,7.41389,7.22803,5.99841,4.34394,2.99348,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_11.xtc,3
2,2,-3514.9,-2.19821,0.57093,6.02799,5.49122,7.2617,7.63,6.06127,4.53477,3.04468,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_11.xtc,3
3,3,-3514.16,-10.4757,0.534001,5.64185,4.23216,4.85072,8.1479,4.9993,11.929,10.4244,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_11.xtc,3
5,4,-3528.12,-12.5451,0.532872,6.48379,4.96792,6.79982,5.11679,2.17003,12.0286,10.5248,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_11.xtc,3
0,0,-3512.67,-5.16059,0.594887,6.23436,7.92332,8.96113,4.43877,6.02604,4.46597,3.01458,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,-
1,1,-3522.79,-6.19067,0.532018,6.90196,8.87401,5.71032,5.42347,6.0419,4.5165,3.07928,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,4
2,2,-3524.85,-5.4366,0.573083,6.04306,8.91522,5.91072,7.88616,6.0729,4.37754,2.8812,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,2
4,3,-3526.41,-6.85688,0.457104,6.75547,8.69859,3.87945,6.78526,6.09018,4.42657,2.90418,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,4
5,4,-3523.6,-12.7652,0.474464,5.04617,4.15408,6.72298,8.53028,4.61434,4.39809,2.94642,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,3
8,5,-3524.87,-7.21441,0.582536,5.49452,6.15082,7.62174,8.51566,4.50106,4.31702,2.81229,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,3
9,6,-3513.59,-11.3024,0.476313,5.56433,7.69738,7.03565,4.28158,5.95361,4.42709,3.02269,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,4
11,7,-3518.08,-22.7943,0.343869,5.11085,8.28065,4.04151,7.47369,6.09432,4.44305,2.9792,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_12.xtc,2
0,0,-3420.64,-17.8199,0.359988,5.08372,3.58074,7.02352,8.56996,5.56479,3.69922,1.85588,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_13.xtc,-
1,1,-3442.05,-17.6202,0.358134,5.43869,3.90638,7.72042,8.62787,5.59732,3.48276,1.59346,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_13.xtc,1
0,0,-3425.19,-5.91829,0.591336,5.54825,4.92978,9.37139,5.73035,5.37436,11.8475,10.3325,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,-
1,1,-3429.79,-6.73766,0.504223,4.95725,6.62231,9.94832,6.29661,5.5469,11.867,10.3437,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,0
2,2,-3432.22,-5.07216,0.639437,5.63842,6.67095,10.0667,6.76462,5.49783,11.7931,10.2308,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,1
4,3,-3431.79,-3.37359,0.67732,4.94854,5.12182,8.7199,10.3487,5.48191,11.7585,10.1825,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,2
5,4,-3440.16,-6.99498,0.55998,5.06891,5.73497,7.27538,9.13454,5.47934,11.6357,10.0018,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,2
7,5,-3446.75,-7.67879,0.589853,5.70052,8.47811,6.91965,8.00073,5.31075,11.5868,9.92317,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,2
10,6,-3447.4,-4.94621,0.639743,5.30409,8.56364,6.81581,9.57886,5.31951,11.6444,9.98079,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_14.xtc,2
0,0,-3441.87,-22.9029,0.283014,3.61579,4.46761,7.01944,8.6734,6.19589,4.11005,2.94506,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_15.xtc,-
1,1,-3521.62,-27.957,0.306179,3.25428,3.77252,7.76112,5.85964,5.22344,3.56113,1.45968,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_15.xtc,3
9,2,-3521.64,-22.1634,0.320775,2.09261,4.79811,8.32958,6.80477,6.00265,4.11836,2.93386,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_15.xtc,0
10,3,-3531.92,-12.7419,0.376325,2.48906,6.68405,6.52067,8.42283,6.04872,4.13007,2.99824,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_15.xtc,0
11,4,-3540.64,-22.8138,0.247576,3.24718,8.27509,4.44569,8.72575,6.41872,4.01066,2.95558,3,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/3/trajectory_15.xtc,0
0,0,-3345.72,-25.2179,0.306067,3.82475,7.69203,9.50417,4.2437,6.24342,3.67022,1.60409,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,-
2,1,-3380.47,-7.89586,0.326594,4.68831,7.07051,9.15434,4.23133,6.25383,3.66729,1.59454,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,0
3,2,-3420.69,-22.2603,0.306635,3.75225,7.65506,8.99812,3.66853,6.2014,3.66387,1.71659,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,0
6,3,-3439.28,-15.614,0.291894,4.55189,4.02177,5.80064,5.9659,4.20222,3.53121,1.52697,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,3
7,4,-3446.47,-20.5889,0.315577,5.06309,8.19219,7.8628,5.29356,6.51493,3.62433,1.59256,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,4
8,5,-3447.13,-14.2519,0.425735,5.82676,7.0523,7.05146,5.16599,6.46215,3.64506,1.59508,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,4
11,6,-3452.43,-17.6122,0.449364,5.5102,4.78998,6.49693,5.90362,6.34767,3.68262,1.5921,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,3
12,7,-3450.54,-9.23458,0.37401,5.17677,6.06475,7.9196,5.47355,6.30473,3.65232,1.5785,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_1.xtc,3
0,0,-3400.94,-19.9282,0.355937,4.9502,5.65725,6.95702,7.03343,6.19149,3.61977,1.61121,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_2.xtc,-
1,1,-3431.63,-20.7299,0.378517,5.6405,7.72096,5.4586,4.95338,6.15803,3.67162,1.7625,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_2.xtc,4
3,2,-3437.57,-4.38695,0.453527,4.66924,6.67954,3.76533,8.65769,6.25292,3.715,1.618,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_2.xtc,3
4,3,-3449.73,-8.47255,0.495222,3.80417,7.52424,7.8201,6.23737,6.23841,3.72729,1.61752,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_2.xtc,0
6,4,-3456.1,-7.73763,0.483607,6.71249,7.99448,5.59875,6.0859,6.36202,3.73531,1.58145,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_2.xtc,4
8,5,-3457.6,-4.82907,0.449378,6.24545,8.2619,6.39203,5.75337,6.3644,3.73783,1.58021,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_2.xtc,4
0,0,-3434.23,-12.6752,0.413476,6.76436,6.07347,4.75333,7.02141,6.33778,1.54629,3.48495,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_3.xtc,-
1,1,-3430.88,-13.0592,0.550247,6.85656,7.92935,4.34192,5.26111,6.26805,1.74553,3.51048,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_3.xtc,2
2,2,-3437.95,-9.28039,0.62583,6.71345,7.8011,4.4217,5.11075,6.26844,1.61854,3.4172,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_3.xtc,2
5,3,-3445.78,-14.023,0.510583,6.10169,8.88137,7.14477,3.58076,4.78734,1.54632,3.47213,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_3.xtc,0
0,0,-3432.3,-9.99462,0.442892,5.15204,4.92213,9.58987,5.64808,6.27301,1.56115,3.52683,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,-
2,1,-3434.5,-13.2446,0.485027,4.62422,6.18889,7.10342,6.76415,6.28219,1.56258,3.54647,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,2
6,2,-3435.64,-9.81652,0.533487,5.33345,6.11401,7.34008,8.22078,6.23774,1.55256,3.60395,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,0
8,3,-3438.67,-8.21902,0.496965,6.47871,7.4929,4.58093,9.07075,6.24972,1.55124,3.61027,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,4
9,4,-3438.89,-10.3421,0.645361,7.48509,7.35197,5.34723,9.25304,5.63911,1.66827,3.671,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,4
10,5,-3462.41,-0.92309,0.608141,7.0794,5.8471,8.01355,7.91483,5.65305,1.63271,3.63834,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,4
11,6,-3494.46,-10.1752,0.518834,6.91079,7.84343,8.68152,6.96541,5.71614,1.49885,3.64568,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_4.xtc,4
0,0,-3440.2,-4.23941,0.508209,5.67857,5.75544,9.46021,5.51161,6.29918,1.62788,3.49487,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_5.xtc,-
1,1,-3497.72,-18.576,0.365904,5.46031,4.95684,9.21398,6.40232,6.29308,1.62929,3.52925,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_5.xtc,1
3,2,-3504.16,-17.6764,0.391914,5.37195,6.14604,7.26513,7.7103,6.28012,1.70034,3.4415,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_5.xtc,2
5,3,-3502.31,-15.8872,0.366738,5.87926,5.94931,9.49612,8.60225,6.30639,1.48419,3.44762,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_5.xtc,2
9,4,-3500.94,-15.5325,0.359847,5.18279,5.86715,9.51124,7.33716,6.23327,1.58762,3.40858,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_5.xtc,2
0,0,-3458.22,-11.7794,0.459136,4.21141,5.29967,8.66706,5.29185,6.17759,1.63847,3.53534,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_6.xtc,-
1,1,-3500.17,-11.4624,0.50093,6.04962,10.7786,7.89917,5.63052,6.22449,1.66191,3.45578,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_6.xtc,0
2,2,-3508.18,-4.07481,0.489931,5.10087,8.83189,9.73919,4.93045,6.22376,1.61223,3.44719,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_6.xtc,0
3,3,-3508.49,-15.005,0.461026,6.38423,11.4583,7.46373,7.32302,6.10429,1.65544,3.44777,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_6.xtc,2
5,4,-3506.79,-15.4136,0.438365,5.40132,6.99819,6.65792,6.45861,6.24285,1.56963,3.43664,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_6.xtc,2
0,0,-3510.89,-12.4806,0.48052,5.3752,5.92937,7.61584,10.4522,5.23203,3.60346,1.5457,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_7.xtc,-
1,1,-3531.45,-13.0626,0.570949,6.33753,7.12172,7.21572,11.0565,5.14091,3.57482,1.49537,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_7.xtc,3
8,2,-3537.83,-9.90603,0.549528,6.03778,10.0223,6.37843,11.6376,5.25504,3.6551,1.5139,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_7.xtc,3
12,3,-3540.38,-9.69023,0.514077,5.95404,5.95475,8.54135,11.3295,5.29309,3.68284,1.54375,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_7.xtc,3
0,0,-3348.2,-7.06035,0.477501,5.35313,4.1639,9.25707,7.08963,6.23216,4.28118,2.86044,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_8.xtc,-
2,1,-3362.57,-8.51566,0.500507,6.22313,8.42092,8.48606,5.75236,6.22278,4.29866,2.8192,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_8.xtc,1
8,2,-3365.88,-5.95619,0.489706,6.47417,8.84807,7.21555,5.67163,6.16064,4.18244,2.7081,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_8.xtc,1
10,3,-3366.34,-6.69037,0.601828,6.83866,6.98142,7.37798,8.54542,6.17986,4.15445,2.63141,4,/dataweb/user_files/mmunicoy/ifr/FraCm2_GRP/induced_fit_refinement/6_adaptive_pele_simulation/complex_2/output/4/trajectory_8.xtc,1
